Keyword;Intent;;;;;
бронхит;Informational, Commercial;;;;;
екзема;Informational;;;;;
ларингит;Informational, Commercial;;;;;
болка в гърдите;Informational;;;;;
дерматит;Informational;;;;;
запек;Informational, Commercial;;;;;
паник атаки;Informational;;;;;
синузит;Informational, Commercial;;;;;
болки в стомаха;Informational, Commercial;;;;;
мигрена;Informational;;;;;
депресия;Informational;;;;;
кашлица;Informational, Commercial;;;;;
подуване на корема;Informational;;;;;
тревожност;Informational, Commercial;;;;;
акне;Informational, Commercial;;;;;
диария;Informational, Commercial;;;;;
запушен нос;Informational, Commercial;;;;;
киселини;Informational, Commercial;;;;;
главоболие;Informational, Commercial;;;;;
повръщане;Informational;;;;;
подути лимфни възли;Informational, Commercial;;;;;
възпалено гърло;Informational;;;;;
загуба на тегло;Informational, Commercial;;;;;
безсъние;Informational, Commercial;;;;;
болки в ставите;Informational, Commercial;;;;;
болки в мускулите;Informational, Commercial;;;;;
обрив;Informational;;;;;
гадене;Informational;;;;;
умора;Informational;;;;;
задух;Informational;;;;;
суха кожа;Informational, Commercial;;;;;
хрипове;Informational;;;;;
хронична умора;Informational;;;;;
втрисане;Informational;;;;;
кихане;Informational;;;;;
отпадналост;Informational;;;;;
сърбеж;Informational, Commercial;;;;;
загуба на апетит;Informational, Commercial;;;;;
замайване;Informational, Commercial;;;;;
нервност;Informational, Commercial;;;;;
повишена температура;Informational, Commercial;;;;;
слаб имунитет;Informational, Commercial;;;;;
алергични реакции;Informational, Commercial;;;;;
зачервяване;Informational, Commercial;;;;;
кожни инфекции;Informational, Commercial;;;;;
раздразнителност;Informational;;;;;
чести настинки;Informational, Commercial;;;;;
лющене на кожа;Informational, Commercial;;;;;
нарушение на храносмилането;Informational;;;;;
секреция от носа;Informational;;;;;
автоимунни реакции;Informational, Commercial;;;;;
алергични обриви;Informational;;;;;
апетитни колебания;Informational;;;;;
бавен възстановителен процес;Informational;;;;;
възпаления без причина;Informational, Commercial;;;;;
нарушена концентрация;Informational;;;;;
промени в настроението;Informational, Commercial;;;;;
чести вируси;Informational, Commercial;;;;;
чести инфекции;Informational;;;;;
