Симптом	Тип	Как да се представи	Решение с Имунофан	CTA
Бронхит	Info + Comm	Видове бронхит (остър/хроничен), защо имунитетът е важен	Подпомага имунната защита, намалява честотата на инфекции	„Как Имунофан подкрепя имунната защита при бронхит?“
Екзема	Info	Причини, типове (атопична, контактна), какво влошава състоянието	Имунофан помага при имунно-медиирани кожни състояния	„Разбери как Имунофан се използва при кожни проблеми“
Ларингит	Info + Comm	Причини (вируси, претоварване), защо се повтаря често	Може да се ползва при чести възпаления в устната/гърлената област	„Открий защо Имунофан е подходящ при чести инфекции“
Болка в гърдите	Info	Причини (мускулна, стрес, сърдечна) – да се избягва медицинска подвеждаща насока	Без директна връзка, само ако се касае за имунно възпаление (в много редки случаи)	Няма нужда от CTA
Дерматит	Info	Видове, връзка с алергии и имунитет	При атопичен или контактен може да помогне като имуномодулатор	„Виж как Имунофан подкрепя кожната бариера и имунния отговор“
Запек	Info + Comm	Причини – начин на живот, хормони, стрес	Само ако запекът е свързан с автоимунни/възпалителни състояния (много деликатно)	„Научи повече как общият имунен баланс влияе на стомашно-чревния тракт“
Паник атаки	Info	Обяснение, симптоми, кога да се търси помощ	Без директна връзка. Може да се спомене, че при тревожност с възпалителна основа, имуномодулация понякога има ефект	„Виж как Имунофан подпомага баланса в тялото“
Синузит	Info + Comm	Остър и хроничен, защо имунитетът е важен	Подпомага тялото при чести инфекции и хронично възпаление	„Подкрепи естествената защита срещу инфекции със силен имунитет“
Болки в стомаха	Info + Comm	Причини – гастрит, IBS, стрес	Възможно използване при автоимунен гастрит, не директно при болка	„Разбери кога Имунофан може да е част от подкрепящата терапия“
Мигрена	Info	Обяснение, тригери, лечение	Без директна връзка – може да се спомене оксидативен стрес като индиректен фактор	Без CTA или общ CTA „Имунофан и цялостното здраве“
Депресия	Info	Причини, биохимия, подходи за справяне	Няма доказана роля, но може да се включи в контекста на възпалителна хипотеза	„Виж как възпалението влияе на психиката – и ролята на имунната система“
Кашлица	Info + Comm	Остра/хронична, алергична, инфекциозна	При чести инфекции или остатъчна кашлица след вирус – има място	„Открий как Имунофан подпомага организма при продължителна кашлица“
Подуване на корема	Info	Причини – газове, SIBO, непоносимости	Без директна връзка – споменава се имунитет на червата, ако изобщо	Без CTA
Тревожност	Info + Comm	Обяснение, връзка със стрес и хормони	Деликатно се въвежда темата за възпалението и неговата роля в мозъка	„Открий ролята на имунната регулация за психо-емоционалния баланс“
Акне	Info + Comm	Видове акне, хормонална, възпалителна основа	Може да се представи като помощ при акне с имунен/хормонален дисбаланс	„Научи повече за ролята на Имунофан при възпалително акне“
